Name/Inception Date,Asset Class,Category,Plan-specific option,Gross Expense Ratio**,Shareholder Fees
DODGE & COX STOCK X (DOXGX)01/04/1965,Stock Investments,Large Cap,Yes,0.46%,No additional fees apply.
FID 500 INDEX (FXAIX)02/17/1988,Stock Investments,Large Cap,No,0.02%,No additional fees apply.
FID CONTRAFUND K6 (FLCNX)05/25/2017,Stock Investments,Large Cap,Yes,0.45%,No additional fees apply.
JPM LG CAP GROWTH R6 (JLGMX)02/28/1992,Stock Investments,Large Cap,Yes,0.52%,No additional fees apply.
VAN FTSE SOC IDX ADM (VFTAX)01/14/2003,Stock Investments,Large Cap,Yes,0.14%,No additional fees apply.
AM CENT MD CP VAL R6 (AMDVX)03/31/2004,Stock Investments,Mid-Cap,Yes,0.63%,No additional fees apply.
EAGLE MID CAP GR F08/28/2018,Stock Investments,Mid-Cap,Yes,0.48%,No additional fees apply.
FID MID CAP IDX (FSMDX)09/08/2011,Stock Investments,Mid-Cap,No,0.03%,No additional fees apply.
FID SM CAP IDX (FSSNX)09/08/2011,Stock Investments,Small Cap,No,0.03%,No additional fees apply.
FKLN SM CAP VAL ADV (FVADX)03/11/1996,Stock Investments,Small Cap,Yes,0.75%,No additional fees apply.
J H TRITON N (JGMNX)02/25/2005,Stock Investments,Small Cap,Yes,0.67%,No additional fees apply.
AF EUROPAC GROWTH R6 (RERGX)04/16/1984,Stock Investments,International,Yes,0.47%,No additional fees apply.
AF NEW PERSPECT R6 (RNPGX)03/13/1973,Stock Investments,International,Yes,0.42%,No additional fees apply.
FID EMRG MKTS IDX (FPADX)09/08/2011,Stock Investments,International,No,0.08%,No additional fees apply.
FID INTL INDEX (FSPSX)11/05/1997,Stock Investments,International,No,0.04%,No additional fees apply.
VAN REAL EST IDX ADM (VGSLX)05/13/1996,Stock Investments,Specialty,No,0.13%,No additional fees apply.
FID FDM IDX 2015 PRM (FFYPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2020 PRM (FKIPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2025 PRM (FLIPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2030 PRM (FMKPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2035 PRM (FNIPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2040 PRM (FPIPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2045 PRM (FQIPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2050 PRM (FRLPX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2055 PRM (FTYPX)06/01/2011,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2060 PRM (FUIPX)08/05/2014,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
FID FDM IDX 2065 PRM (FVIPX)06/28/2019,Blended Investment*,N/A,Yes,0.06%,No additional fees apply.
FID FDM IDX INC PRM (FAPIX)10/02/2009,Blended Investment*,N/A,Yes,0.05%,No additional fees apply.
MIP CL 209/07/1989 7 day yield as of09/30/2024 2.26%,Bond Investments,Stable Value,Yes,0.49%,No additional fees apply.
FID US BOND IDX (FXNAX)03/08/1990,Bond Investments,Income,No,0.03%,No additional fees apply.
PGIM GLB TOT RTN R6 (PGTQX)07/07/1986,Bond Investments,Income,Yes,0.54%,No additional fees apply.
PIM TOTAL RT INST (PTTRX)05/11/1987,Bond Investments,Income,Yes,0.51%,No additional fees apply.